cep,latitude,longitude,state,city,neighborhood,street
38400438,-18.920497,-48.289372,MG,Uberlandia,OSVALDO REZENDE,RUA MARQUES POVOA
38400440,-18.919401,-48.288842,MG,Uberlandia,OSVALDO REZENDE,RUA FRANCISCO SALES
38400442,-18.918199,-48.287968,MG,Uberlandia,OSVALDO REZENDE,RUA EDUARDO MARQUES
38400444,-18.916625,-48.285996,MG,Uberlandia,DANIEL FONSECA,RUA BERNARDO CUPERTINO
38400445,-18.916478,-48.282205,MG,Uberlandia,UBERLANDIA,RUA EDUARDO MARQUES
38400446,-18.915462,-48.285087,MG,Uberlandia,UBERLANDIA,RUA ALEXANDRE MARQUEZ
38400447,-18.906713,-48.209994,MG,Uberlandia,DOM ALMIR,RUA ANA MARIA DE JESUS
38400448,-18.91429,-48.284446,MG,Uberlandia,UBERLANDIA,AVENIDA VASCONCELOS COSTA
38400450,-18.915794,-48.289449,MG,Uberlandia,UBERLANDIA,AVENIDA VASCONCELOS COSTA
38400452,-18.918445,-48.297552,MG,Uberlandia,DANIEL FONSECA,AVENIDA VASCONCELOS COSTA
38400454,-18.915403,-48.291801,MG,Uberlandia,OSVALDO REZENDE,AVENIDA BELO HORIZONTE
38400455,-18.910985,-48.27771,MG,Uberlandia,UBERLANDIA,RUA RANOR SANTOS DO CARMO
38400456,-18.911945,-48.28391,MG,Uberlandia,MARTINS,AVENIDA FERNANDO VILELA
38400458,-18.913772,-48.290253,MG,Uberlandia,OSVALDO REZENDE,AVENIDA FERNANDO VILELA
38400460,-18.91123,-48.283626,MG,Uberlandia,UBERLANDIA,RUA PROFESSOR JOAO BASILIO
